Date,Open,High,Low,Close,Volume,tick
45293.66667,48.32,48.47,46.19,46.85,5049423,NFLX
45294.66667,46.73,47.51,46.58,47.03,3443694,NFLX
45295.66667,47.3,48.07,46.65,47.47,3636513,NFLX
45296.66667,47.65,47.95,47.18,47.41,2631250,NFLX
45299.66667,47.39,48.52,47.37,48.5,3675775,NFLX
45300.66667,47.55,48.51,47.38,48.21,3526757,NFLX
45301.66667,48.16,48.7,47.3,47.83,4342448,NFLX
45302.66667,49.25,50.34,48.38,49.22,7993265,NFLX
45303.66667,50.05,50.08,49.06,49.22,5003718,NFLX
45307.66667,49,49.42,47.8,48.12,4678974,NFLX
45308.66667,48.45,48.62,47.53,48.03,4894593,NFLX
45309.66667,48,48.58,47.8,48.53,4054399,NFLX
45310.66667,48.5,48.57,47.61,48.3,5672351,NFLX
45313.66667,48.76,48.98,47.99,48.57,5212309,NFLX
45314.66667,49.2,49.9,48.14,49.22,15506024,NFLX
45315.66667,53.78,56.25,53.71,54.49,26432797,NFLX
45316.66667,55.2,56.35,54.85,56.2,9451915,NFLX
45317.66667,56.18,57.96,55.84,57.04,12770571,NFLX
45320.66667,57.14,57.85,56.27,57.58,6905390,NFLX
45321.66667,56.73,57.09,56.08,56.29,6181798,NFLX
45322.66667,56.29,57.22,56.2,56.41,4857599,NFLX
45323.66667,56.7,57.27,56.38,56.75,3174002,NFLX
45324.66667,56.45,56.78,56.24,56.46,4032843,NFLX
45327.66667,56.25,57.58,55.72,56.21,4143099,NFLX
45328.66667,56.41,56.63,55.44,55.59,2840300,NFLX
45329.66667,55.82,56.78,55.5,55.93,4373591,NFLX
45330.66667,56.06,56.37,55.57,55.85,3175468,NFLX
45331.66667,56.5,56.6,55.81,56.13,3055698,NFLX
45334.66667,56.04,56.84,55.7,55.79,3608487,NFLX
45335.66667,55.08,55.92,54.9,55.45,3511453,NFLX
45336.66667,56.73,58.12,56.43,57.93,5634226,NFLX
45337.66667,58.19,59.38,58.03,59.35,5220938,NFLX
45338.66667,59.7,59.7,57.75,58.4,4325689,NFLX
45342.66667,58.02,58.6,56.97,57.51,3124236,NFLX
45343.66667,57.35,57.58,56.73,57.34,2281143,NFLX
45344.66667,58.28,59.09,57.89,58.85,3526597,NFLX
45345.66667,58.64,59.24,57.98,58.36,2568852,NFLX
45348.66667,58.36,59.08,58.33,58.77,2393712,NFLX
45349.66667,59.5,60.54,59.23,60.17,4489355,NFLX
45350.66667,59.58,59.82,59,59.65,2605242,NFLX
45351.66667,60.43,60.45,59.52,60.29,3572082,NFLX
45352.66667,59.98,62.03,59.95,61.93,4270305,NFLX
45355.66667,62.16,62.44,61.51,61.58,3020306,NFLX
45356.66667,61.01,61.09,59.2,59.85,3849563,NFLX
45357.66667,60.3,60.79,59.36,59.77,2469592,NFLX
45358.66667,59.93,61.05,59.59,60.85,2742805,NFLX
45359.66667,60.83,61.61,60.08,60.48,2777243,NFLX
45362.66667,60.81,61.1,60.04,60.09,2500940,NFLX
